Food Item,Calories,Protein,Carbs,Fiber,Fats,Veg/Non-Veg,Category,Meal,Allergens,Junk/Healthy,Weight
Onion Paratha(116g),277,5.7,40,8.5,11,Veg,Roti,"Breakfast,Snack","Gluten,Milk ",Healthy,Weight Gain
White Bread(25g per slice),67,2,13,0.6,1,Veg,Breads,"Breakfast,Snack",Gluten,Healthy,Weight Gain
Brown Bread(30g per slice),80,3.1,15,2,1.2,Veg,Breads,"Breakfast,Snack",Gluten,Healthy,Weight Gain
Whole Wheat Bread(43g per slice),90,5,20,3,2,Veg,Breads,"Snack,Dinner",Gluten,Healthy,Weight Gain
Multigrain Bread(26g),69,3.5,12,2,1.2,Veg,Breads,"Lunch,Dinner",Gluten,Healthy,Weight Gain
Garlic Bread(43g per slice),150,3.6,18,1.1,7.1,Veg,Breads,"Lunch,Dinner",Gluten,Healthy,Weight Gain
Stuffed Kulcha(125g),293,10,46,3,15,Veg,Breads,"Lunch,Dinner,Snack",Gluten,Healthy,Weight Gain
Pita Bread(64g),180,6,36,4,1,Veg,Breads,"Breakfast,Snack",Gluten,Junk,Weight Gain
Focaccia(57g),142,5,20.4,1,4.5,Veg,Breads,"Breakfast,Snack",Gluten,Healthy,Weight Loss
Bun(60g),150,6,28,5,3,Veg,Breads,"Breakfast,Snack",Gluten,Healthy,Weight Gain
Bread Roll(60g),180,6,35,3,3,Veg,Breads,"Breakfast,Snack",Gluten,Junk,Weight Gain
Fruit Bread(41g per slice),132,2.5,22.37,2,4.23,Veg,Breads,"Lunch,Dinner,Snack","Gluten,Egg,Soy,Milk",Junk,Weight Gain
Cheese Bread(48g per slice),196,5,22,1,10,Veg,Breads,"Lunch,Dinner","Gluten,Milk,Eggs",Healthy,Weight Gain
Herb Bread(40g per slice),120,5,22,2,3,Veg,Breads,"Lunch,Dinner","Gluten,Soy,Egg",Healthy,Weight Loss
Ciabatta(57g),140,5,29,1,0.5,Veg,Breads,"Breakfast,Snack",Gluten,Healthy,Weight Gain
Baguette(64g),175,7.5,35,2,2,Veg,Breads,Snack,Gluten,Healthy,Weight Loss
Croissant(57g),231,5,26,1.5,12,Veg,Breads,"Lunch,Dinner","Gluten,Milk,Eggs",Healthy,Weight Gain
Khari Biscuit(12g per piece),59,2,6,1,3,Veg,Breads,"Breakfast,Snack","Gluten,Soy,Tree Nuts",Healthy,Weight Gain
Kulcha Bread(60g),143,3.9,25.3,0.23,2.9,Veg,Breads,"Breakfast,Snack","Gluten,Dairy,Soy",Healthy,Weight Gain
Sweet Bun(80g),288,8,55,3,8,Veg,Breads,"Breakfast,Snack",Gluten,Healthy,Weight Gain
Milk Bread(28g per slice),100,4,20,0.9,2,Veg,Breads,"Breakfast,Snack",Gluten,Healthy,Weight Gain
Paneer(100g),321,25,5,0,27,Veg,Dairy & Alternatives,"Lunch,Dinner",Dairy,Healthy,Weight Gain
Milk(249g),152,8,12,0,8,Veg,Dairy & Alternatives,Lunch,Dairy,Healthy,Weight Gain
Curd(100g),70,4,5,0,4,Veg,Dairy & Alternatives,"Breakfast,Snack,Lunch,Dinner",Dairy,Healthy,Weight Loss
Buttermilk(245g),98,8,12,0,3,Veg,Dairy & Alternatives,"Breakfast,Lunch,Dinner",Dairy,Healthy,Weight Loss
Cheddar Cheese(28g),115,7,1,0,9,Veg,Dairy & Alternatives,"Breakfast,Snack,Lunch,Dinner",Dairy,Healthy,Weight Loss
Parmesan Cheese(28g),119,10,4,0,8,Veg,Dairy & Alternatives,"Breakfast,Snack,Lunch,Dinner",Dairy,Healthy,Weight Loss
Mozzarella Cheese(28g),86,7,2,0,6,Veg,Dairy & Alternatives,"Breakfast,Snack,Lunch,Dinner",Dairy,Healthy,Weight Loss
Ghee(15g),135,0,0,0,15,Veg,Dairy & Alternatives,"Breakfast,Lunch,Dinner",Dairy,Healthy,Weight Gain
Butter(14g),102,0.1,0,0,11.5,Veg,Dairy & Alternatives,"Breakfast,Snack",Dairy,Healthy,Weight Gain
Cream(15g),51,0.5,0.4,0,5.5,Veg,Dairy & Alternatives,Breakfast,Dairy,Healthy,Weight Gain
Kefir(240g),118,8,12,0,2,Veg,Dairy & Alternatives,Breakfast,Dairy,Healthy,Weight Loss
Soy Milk(240g),100,8,8,2,4,Veg,Dairy & Alternatives,"Lunch,Dinner",Dairy,Healthy,Weight Loss
Almond Milk(240g),40,1,3.4,1,3,Veg,Dairy & Alternatives,"Breakfast,Lunch,Snack",Tree Nuts,Healthy,Weight Loss
Coconut Milk(100g),230,2.3,5.5,2.2,23.8,Veg,Dairy & Alternatives,"Lunch,Dinner",Tree Nuts,Healthy,Weight Gain
Sweet Lassi(250g),286,6.5,34.8,0,9.75,Veg,Dairy & Alternatives,"Lunch,Dinner",Dairy,Healthy,Weight Gain
Salted Lassi(250g),176,6.5,7.5,0,9.75,Veg,Dairy & Alternatives,Lunch,Dairy,Healthy,Weight Gain
Khoa(100g),413,20,30,0,26,Veg,Dairy & Alternatives,"Lunch,Dinner",Dairy,Healthy,Weight Gain
Shrikhand(100g),270,8,42,1,9,Veg,Dairy & Alternatives,Lunch,Dairy,Healthy,Weight Gain
Yogurt(100g),59,10.3,7.7,0,0.4,Veg,Dairy & Alternatives,"Lunch,Dinner",Dairy,Healthy,Weight Gain
Chaas(250g),128,8,11.7,0.37,7.75,Veg,Dairy & Alternatives,"Lunch,Dinner",Dairy,Healthy,Weight Loss
Cottage Cheese(100g),100,14,4,0,2.5,Veg,Dairy & Alternatives,"Lunch,Dinner",Dairy,Healthy,Weight Loss
Skimmed Milk(240g),86,8.4,12,0,0.2,Veg,Dairy & Alternatives,"Lunch,Dinner",Dairy,Healthy,Weight Loss
Full Cream Milk(244g),152,8,12,0,8,Veg,Dairy & Alternatives,"Lunch,Dinner",Dairy,Healthy,Weight Gain
Paneer Tikka (100g),265,18.5,6.2,1.5,18.8,Veg,Dairy & Cheese,"Lunch,Dinner,Snack",Dairy,Healthy,Weight Gain
Chicken Curry(235g),412,25,20,30,29,Non-Veg,Meats & Seafood,"Lunch,Dinner",Coconut,Healthy,Weight Loss
Fish Fry(100g),250,25,15,2,15,Non-Veg,Meats & Seafood,"Lunch,Dinner",Fish,Healthy,Weight Loss
Tandoori Chicken(100g),181,29.5,4.2,0.8,7.1,Non-Veg,Meats & Seafood,"Lunch,Dinner","Milk,Soya",Healthy,Weight Loss
Butter Chicken(300g),640,40,28,5,35,Non-Veg,Meats & Seafood,"Lunch,Dinner",Milk,Healthy,Weight Gain
Mutton Curry(100g),235,2,10,2,15,Non-Veg,Meats & Seafood,"Lunch,Dinner",Meat,Healthy,Weight Loss
Keema(100g),300,25,18,5,20,Non-Veg,Meats & Seafood,"Lunch,Dinner",Dairy,Healthy,Weight Gain
Prawns Masala(100g),179,19,6,1.8,8,Non-Veg,Meats & Seafood,"Lunch,Dinner",ShellFish,Healthy,Weight Loss
Fish Curry(240g),340,40,16,4,18,Non-Veg,Meats & Seafood,"Breakfast,Snack,Lunch,Dinner",None,Healthy,Weight Loss
Egg Curry(120g),210,1014,4,17,7.1,Non-Veg,Meats & Seafood,"Breakfast,Snack,Lunch,Dinner",Egg,Healthy,Weight Gain
Boiled Egg(50g),78,6.3,0.6,0,5.3,Non-Veg,Meats & Seafood,"Lunch,Dinner",Egg,Healthy,Weight Gain
Omelette(2 eggs(120g)),221,14,4.6,0.7,17,Non-Veg,Meats & Seafood,"Lunch,Dinner",Egg,Healthy,Weight Loss
Grilled Fish(100g),126,25,0.33,0,3.5,Non-Veg,Meats & Seafood,"Lunch,Dinner",Parvalbumin,Healthy,Weight Loss
Fried Fish(100g),213,18,9,0.6,12,Non-Veg,Meats & Seafood,"Lunch,Dinner",Fish,Healthy,Weight Gain
Chicken Biryani(300g),500,30,60,7,15,Non-Veg,Meats & Seafood,"Lunch,Dinner",Dairy,Healthy,Weight Gain
Mutton Biryani(200g),400,16,47,5,16,Non-Veg,Meats & Seafood,"Breakfast,Snack,Lunch,Dinner","Gluten,Milk,Meat",Healthy,Weight Gain
Tandoori Fish(100g),152,18,5,1,7,Non-Veg,Meats & Seafood,"Lunch,Dinner",Fish,Healthy,Weight Loss
Egg Bhurji(100g),200,13,15,4,15,Non-Veg,Meats & Seafood,"Lunch,Dinner",Egg,Healthy,Weight Gain
Seekh Kebab(100g),335,26,10,2,23,Non-Veg,Meats & Seafood,"Lunch,Dinner","Gluten,Eggs",Healthy,Weight Gain
Salmon Grilled (100g),206,22,0,0,13,Non-Veg,Fish & Seafood,"Lunch,Dinner",Fish,Healthy,Weight Gain
Chicken Tikka(100g),179,28,8,2,8,Non-Veg,Snacks & Street Foods,"Lunch,Dinner","Soya,Gluten",Healthy,Weight Gain
Lamb Curry(200g),218,24,16,4,28,Non Veg,Snacks & Street Foods,"Lunch,Dinner","Milk,Soy ",Healthy,Weight Gain
Samosa(100g),308,5,32,2.1,18,Veg,Snacks & Street Foods,Snack,Gluten,Junk,Weight Gain
Pakora(100g),315,9.2,28.4,4.5,19.6,Veg,Snacks & Street Foods,Snack,"Gluten,Legumes",Junk,Weight Gain
Kachori(50g),154,2.7,14.3,2.9,9.6,Veg,Snacks & Street Foods,Snack,Gluten,Junk,Weight Gain
Chole Kulche(200g),450,15,70,10,12,Veg,Snacks & Street Foods,Snack,Gluten,Junk,Weight Gain
"Gol Gappas(6 pieces, 100g)",300,5,30,3.5,10,Veg,Snacks & Street Foods,Snack,Gluten,Junk,Weight Gain
Bhel Puri(100g),477,11,64,6,38,Veg,Snacks & Street Foods,Snack,"Peanuts,Gluten",Healthy,Weight Gain
Sev Puri(250g per plate),261,5.5,30,3,13,Veg,Snacks & Street Foods,Snack,Wheat,Junk,Weight Gain
Vada Pav(127g),300,7,45,4,17,Veg,Snacks & Street Foods,Snack,Gluten,Junk,Weight Gain
Aloo Tikki(60g),115,3,18,2,7,Veg,Snacks & Street Foods,Snack,Wheat,Junk,Weight Gain
Bread Pakora(70g per piece,295,11.5,27.8,4,15.3,Veg,Snacks & Street Foods,Snack,"Wheat,Besan",Junk,Weight Gain
Paneer Pakora(100g),448,12.5,25,4.6,40,Veg,Snacks & Street Foods,Snack,Milk,Junk,Weight Gain
Mirchi Bajji(30g),79.4,3.1,9.4,1.8,3.3,Veg,Snacks & Street Foods,Snack,Gluten,Junk,Weight Gain
Mathri(20g per piece),91,1,5.2,0.2,4,Veg,Snacks & Street Foods,Snack,Gluten,Healthy,Weight Gain
Chakli(30g per piece),110,1.4,8.5,0.13,4.1,Veg,Snacks & Street Foods,Snack,"Gluten,Seasame",Junk,Weight Gain
Murukku(30g 2 pieces),130,1,14,0.4,6,Veg,Snacks & Street Foods,Snack,"Gluten,Seasame,Chickpea",Junk,Weight Gain
Dhokla(100g),150,7,20,2,2,Veg,Snacks & Street Foods,Snack,Gluten,Healthy,Weight Loss
Khandvi(30g 2 pieces),64.4,2.6,6,1.1,3.3,Veg,Snacks & Street Foods,Snack,Dairy,Healthy,Weight Loss
Spring Roll(64g per roll),145,4,19,1.1,8,Veg,Snacks & Street Foods,Snack,"Wheat, Soy, Peanuts, Shellfish",Junk,Weight Gain
Cutlet(100g),165,3,18,2,10,Veg,Snacks & Street Foods,Snack,Gluten,Junk,Weight Gain
French Fries(117g),365,4,48,4.4,17,Veg,Snacks & Street Foods,Snack,Potato,Junk,Weight Gain
Masala Chai(180g),120,3,15,0.5,4,Veg,Beverages,Snack,Dairy,Healthy,Weight Loss
Black Tea(240g),2,0,0.47,0,0,Veg,Beverages,Snack,None,Healthy,Weight Loss
Green Tea(240g),3,0.5,0,0,0,Veg,Beverages,Snack,None,Healthy,Weight Loss
Coffee(240g/1 cup),4,0.3,0,0,0,Veg,Beverages,Snack,None,Healthy,Weight Loss
Cold Coffee(240g),41,5,25,0,8,Veg,Beverages,Snack,Milk,Healthy,Weight Loss
Sugarcane Juice(250g/1 cup),180,0.5,50,0.77,0.2,Veg,Beverages,Snack,None,Healthy,Weight Gain
Coconut Water(240g),46,1.7,15,2.6,0.5,Veg,Beverages,Snack,None,Healthy,Weight Loss
Nimbu Pani(240g),115,0.4,27,0,0,Veg,Beverages,Snack,None,Healthy,Weight Loss
Milkshake(300g),382,9,56.9,2.5,13.8,Veg,Beverages,Snack,Milk,Healthy,Weight Gain
Badam Milk(240g),40,1,2,0.5,3,Veg,Beverages,Snack,Tree Nuts,Healthy,Weight Loss
Thandai(200g),53,0.2,20,0.6,0.1,Veg,Beverages,Snack,"Nuts,Dairy",Healthy,Weight Gain
Kesar Milk(240g),150,6,12,0.24,7,Veg,Beverages,"Snack,Lunch",Milk,Healthy,Weight Gain
Hot Chocolate(250g),220,10,30,2.5,9,Veg,Beverages,Snack,None,Junk,Weight Gain
Butter Milk(245g),98,8,12,0,3,Veg,Beverages,Snack,None,Healthy,Weight Loss
Soft Drink(240g),100,0,30,0,0,Veg,Beverages,Snack,None,Junk,Weight Gain
Energy Drink(250g),120,1,30,0,0,Veg,Beverages,Snack,None,Junk,Weight Gain
Fruit Juice(240g),120,2,30,1,0.5,Veg,Beverages,Snack,None,Healthy,Weight Gain
Smoothie(245g),300,20,50,10,10,Veg,Beverages,Snack,"Dairy, Soy, Peanut, Treenut, Wheat.",Healthy,Weight Gain
Whey Protein(30g),130,30,5,1,3,Veg,Protein Supplements,"Pre-Workout, Post-Workout",Dairy,Healthy,Weight Gain
Soy Protein Powder(30g),103,27,3,1,1,Veg,Protein Supplements,"Pre-Workout, Post-Workout",Soy,Healthy,Weight Gain
Pea Protein Powder(30g),120,25,3,1,2,Veg,Protein Supplements,"Breakfast, Snack, Post-Workout",Dairy,Healthy,Weight Gain
Casein Protein(35g),130,25,4,1,1,Veg,Protein Supplements,"Pre-Workout, Post-Workout",Dairy,Healthy,Weight Gain
Mass Gainer(100g),388,23.5,66.4,0,3.5,Veg,Protein Supplements,"Pre-Workout, Post-Workout",Dairy,Healthy,Weight Gain
Egg Protein Powder(30g),120,25,3,0.5,0,Veg,Protein Supplements,"Pre-Workout, Post-Workout",Dairy,Healthy,Weight Gain
Hemp Protein Powder(30g),120,15,13,11,3,Veg,Protein Supplements,"Snack, Pre-Bed",Dairy,Healthy,Weight Loss
Brown Rice Protein(30g),130,27,4,2.5,2,Veg,Protein Supplements,"Pre-Workout, Post-Workout","Dairy,Soy,Gluten,Eggs",Healthy,Weight Loss
Collagen Powder(14g),70,14,0,0,0,Veg,Protein Supplements,"Pre-Workout, Post-Workout,Snack",Animal,Healthy,Weight Loss
Vegan Protein Blend(30g),130,25,7,4,2,Veg,Protein Supplements,Intra-Workout,"Soy,Peanut,Treenut",Healthy,Weight Loss
Protein Bar(35g),150,10,15,3,5,Veg,Protein Supplements,"Post-Workout, Pre-Bed","Milk,Soy,Nuts,Eggs,Gluten",Healthy,Weight Gain
BCAA Powder(10g),60,0,1,0,0,Veg,Protein Supplements,"Pre-Workout, Post-Workout","Dairy,Soy ",Healthy,Weight Gain
Glutamine Supplement(5g),20,5,0,0,0,Veg,Protein Supplements,"Pre-Workout, Post-Workout",Dairy,Healthy,Maintain
Creatine Blend(5g),11,2.6,0,0,0,Veg,Protein Supplements,"Pre-Workout, Post-Workout","Dairy,Soy",Healthy,Weight Gain
Plant Protein Shake(38g),120,25,4,2,4,Veg,Protein Supplements,"Pre-Workout, Post-Workout",Dairy,Healthy,Weight Gain
Isolate Whey(30g),120,27,3,0.1,1,Veg,Protein Supplements,"Pre-Workout, Post-Workout",Dairy,Healthy,Weight Gain
Concentrate Whey(30g),130,25,5,1,3,Veg,Protein Supplements,"Snack, Post-Workout",Dairy,Healthy,Weight Gain
Hydrolyzed Whey(30g),120,28,3,0,1,Veg,Protein Supplements,"Snack,Post-Workout",Dairy,Healthy,Weight Gain
Herbal Protein Mix(28g),110,15,7,3,3,Veg,Protein Supplements,"Pre-Workout,Post-Workout",Dairy,Healthy,Weight Gain
Milk Protein(30g),150,30,5,0,5,Veg,Protein Supplements,"Pre-Workout,Post-Workout",Dairy,Healthy,Weight Gain
Gulab Jamun(30g per piece),175,3,23,0.1,7,Veg,Desserts & Sweets,Snack,Gluten,Junk,Weight Gain
Carrot Halwa(100g),290,5,36,4,16,Veg,Desserts & Sweets,Snack,"Gluten,Milk",Junk,Weight Gain
Rasgulla(50g),120,2.5,25,0,3,Veg,Desserts & Sweets,Snack,"Gluten,Milk",Junk,Weight Gain
Jalebi(30g),96.5,1,13.6,0.4,4.2,Veg,Desserts & Sweets,Snack,Gluten,Junk,Weight Gain
Barfi(44g),125,6,18,0.4,8.5,Veg,Desserts & Sweets,Snack,"Gluten,Milk",Junk,Weight Gain
Kaju Katli(10g per piece),50,1.5,6,0.3,3,Veg,Desserts & Sweets,Snack,"Gluten,Cashews",Junk,Weight Gain
Rasmalai(100g),235,9,33,2,10,Veg,Desserts & Sweets,Snack,"Gluten,Milk",Junk,Weight Gain
Sandesh(25g),114,4.5,9,0.12,6.6,Veg,Desserts & Sweets,Snack,"Gluten,Milk",Healthy,Weight Gain
Soan Papdi(35g),110,2,17,1,6.2,Veg,Desserts & Sweets,Snack,Gluten,Junk,Weight Gain
Peda(30g),112,4,15,0.3,7,Veg,Desserts & Sweets,Snack,Milk,Junk,Weight Gain
Ladoo(60g),246,4,28,2.5,13,Veg,Desserts & Sweets,Snack,Milk,Healthy,Weight Gain
Imarti(60g per piece),128,2,17,1,5.09,Veg,Desserts & Sweets,Snack,Gluten,Junk,Weight Gain
Chum Chum(80g),255,5.4,36,0.4,8.4,Veg,Desserts & Sweets,Snack,Milk,Junk,Weight Gain
Balushahi(50g),434,6.7,40,0.4,18.3,Veg,Desserts & Sweets,Snack,"Gluten,Milk",Junk,Weight Gain
Malpua(50g),175,1.8,27.1,1.22,11.73,Veg,Desserts & Sweets,Snack,"Gluten,Milk",Junk,Weight Gain
Sheer Khurma(100g),288,4.9,35.4,2.5,14.6,Veg,Desserts & Sweets,Snack,Gluten,Healthy,Weight Gain
Rice Kheer(100g),197,4.8,27,0.9,7.3,Veg,Desserts & Sweets,Snack,"Milk,Nuts",Healthy,Weight Gain
Phirni(100g),240,4.5,38,1.1,8,Veg,Desserts & Sweets,Snack,"Milk,Nuts",Junk,Weight Gain
Kulfi(100g),260,7,26,1,18,Veg,Desserts & Sweets,Snack,"Milk,Nuts",Junk,Weight Gain
Ice Cream(66g),137,2.3,15.6,0.9,7.3,Veg,Desserts & Sweets,Snack,"Gluten,Milk",Junk,Weight Gain
Dark Chocolate 70% (30g),170,2.2,13,3.1,12,Veg,Sweets,Snack,None,Healthy,Maintain
Noodles Veg (200g),315,9,50,4,9.5,Veg,Chinese,"Lunch,Dinner",Gluten,Junk,Weight Gain
Manchurian (150g),285,7,38,3.5,12,Veg,Chinese,"Snack,Dinner",Gluten,Junk,Weight Gain
Spring Roll (100g),235,6,30,2.5,10,Veg,Chinese,Snack,Gluten,Junk,Weight Gain
Pasta White Sauce (250g),425,12,52,3,18,Veg,Italian,"Lunch,Dinner",Gluten/Dairy,Junk,Weight Gain
Pasta Red Sauce (250g),320,10,55,5,7,Veg,Italian,"Lunch,Dinner",Gluten,Healthy,Maintain
Pizza Cheese (1 slice 100g),266,11,33,2,10,Veg,Italian,"Lunch,Dinner,Snack",Gluten/Dairy,Junk,Weight Gain
Burger Veg (150g),385,12,48,4.5,16,Veg,Fast Food,"Lunch,Dinner,Snack",Gluten,Junk,Weight Gain
Burger Chicken (180g),520,28,42,3,25,Non-Veg,Fast Food,"Lunch,Dinner,Snack",Gluten,Junk,Weight Gain
French Fries (100g),312,3.4,41,3.8,15,Veg,Fast Food,Snack,None,Junk,Weight Gain
Chocolate Cake (1 slice 80g),350,4.5,48,2,16,Veg,Desserts,Snack,"Gluten,Dairy,Eggs",Junk,Weight Gain
Cookies (3 pieces 30g),145,2,20,1,6.5,Veg,Packaged Snacks,Snack,Gluten,Junk,Weight Gain
Chips (30g),160,2,15,1.5,10,Veg,Packaged Snacks,Snack,None,Junk,Weight Gain
Biscuits (4 pieces 40g),185,3,28,1.5,7,Veg,Packaged Snacks,Snack,Gluten,Junk,Weight Gain
Namkeen (30g),155,3.5,18,2,8,Veg,Packaged Snacks,Snack,Peanuts,Junk,Weight Gain
